Company.Name,Quarter,Closing_Price,EPS,P.E,P.B,Turnover,Debt_to_equity_ratio,Current_ratio,Quick_ratio
Sun Pharmaceutical Inds. Ltd.,Sep-16,742.7,-0.24,33.1,8.15,1518.63,0.27,0.54,0.28
Sun Pharmaceutical Inds. Ltd.,Dec-16,630,-0.24,33.1,7.11,2203.82,0.27,0.54,0.28
Tata Consultancy Services Ltd.,Jun-05,1358.1,44.09,30.8,16.72,1214.43,0.04,1.43,1.43
Tata Consultancy Services Ltd.,Sep-05,1482.35,47.3,31.34,15.74,922.07,0.04,1.43,1.43
Tata Consultancy Services Ltd.,Dec-05,1702.85,47.3,36,18.09,506.53,0.04,1.43,1.43
Tata Consultancy Services Ltd.,Mar-06,1915.5,54.72,35.01,16.71,702.43,0.01,1.89,1.88
Tata Consultancy Services Ltd.,Jun-06,1738.75,59.17,29.39,13.28,1176.95,0.01,1.89,1.88
Tata Consultancy Services Ltd.,Sep-06,1022.05,29.58,34.55,15.61,449.1,0.01,1.89,1.88
Tata Consultancy Services Ltd.,Dec-06,1222,32.76,37.3,16.3,572.24,0.01,1.89,1.88
Tata Consultancy Services Ltd.,Mar-07,1233.85,35.53,34.73,14.57,864.19,0.01,1.89,1.88
Tata Consultancy Services Ltd.,Jun-07,1149.35,38.37,29.95,13.96,861.03,0.01,1.8,1.79
Tata Consultancy Services Ltd.,Sep-07,1060.15,40.31,26.3,11.36,1654.57,0.01,1.8,1.79
Tata Consultancy Services Ltd.,Dec-07,1077.4,43.04,25.03,9.2,585.54,0.01,1.8,1.79
Tata Consultancy Services Ltd.,Mar-08,810.45,42.1,19.25,7.27,831.43,0.01,2.34,2.34
Tata Consultancy Services Ltd.,Jun-08,858.2,43.26,19.84,6.94,704.71,0.01,2.34,2.34
Tata Consultancy Services Ltd.,Sep-08,665.6,43.24,15.39,4.9,1365.09,0.01,2.34,2.34
Tata Consultancy Services Ltd.,Dec-08,477.9,43.71,10.93,3.23,304.51,0.01,2.34,2.34
Tata Consultancy Services Ltd.,Mar-09,538.55,46.85,11.5,3.95,639.56,0.01,1.71,1.7
Tata Consultancy Services Ltd.,Jun-09,389.85,24.33,16.02,5.22,1160.4,0.01,1.71,1.7
Tata Consultancy Services Ltd.,Sep-09,621,25.78,24.09,7.61,1351.22,0.01,1.71,1.7
Tata Consultancy Services Ltd.,Dec-09,750.25,27.95,26.84,8.38,1070.12,0.01,1.71,1.7
Tata Consultancy Services Ltd.,Mar-10,780.65,28.65,27.25,10.17,2799.43,0.01,1.42,1.42
Tata Consultancy Services Ltd.,Jun-10,751,30.08,24.97,8.87,1239.64,0.01,1.42,1.42
Tata Consultancy Services Ltd.,Sep-10,926.95,32.46,28.56,9.87,3497.07,0.01,1.42,1.42
Tata Consultancy Services Ltd.,Dec-10,1165.65,35,33.31,11.16,895.96,0.01,1.42,1.42
Tata Consultancy Services Ltd.,Mar-11,1183.9,38.62,30.65,11.9,4375.75,0.01,1.69,1.55
Tata Consultancy Services Ltd.,Jun-11,1184.2,41.21,28.74,10.76,3049.52,0.01,1.69,1.55
Tata Consultancy Services Ltd.,Sep-11,1037.3,48.23,21.51,8.21,1409.26,0.01,1.69,1.55
Tata Consultancy Services Ltd.,Dec-11,1160.65,48.23,24.06,9.19,904.39,0.01,1.69,1.55
Tata Consultancy Services Ltd.,Mar-12,1168.8,53.93,21.67,8.2,1479.36,0.01,1.69,1.55
Tata Consultancy Services Ltd.,Jun-12,1277.45,55.77,22.9,10.1,1272.57,0.01,1.84,1.72
